id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
23,3,3,1,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,7,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
24,1,0,NA,I did not recieve any offers,Caucasian-American/European,23,13,Non-binary,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,No,Become weaker
25,2,0,NA,I did not recieve any offers,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Become weaker
26,4,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,33,40,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
27,4,2,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,22,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
28,0,0,NA,I did not recieve any offers,Caucasian-American/European,3,0,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
29,2,0,0,I did not recieve any offers,Caucasian-American/European,35,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
30,0,NA,NA,I did not recieve any offers,"Caucasian-American/European,Not Listed",1,3,Man,"Social, Behavior, & Economic Sciences",Somewhat,Postdoc,Yes,Become weaker
31,3,0 (still waiting on one school),0,NA,Caucasian-American/European,40,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
32,4,2,1,I accepted an offer at a research-intensive institution,Caucasian-American/European,9,4,Woman,Computer & Information Sciences,NA,Postdoc,Yes,Not changed
33,0,NA,NA,I did not recieve any offers,Caucasian-American/European,2,0,Man,Mathematical & Physical Sciences,Not at all,Postdoc,Yes,Become weaker
34,2,0,NA,I did not recieve any offers,Caucasian-American/European,23,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
35,2,0,0,I did not recieve any offers,Caucasian-American/European,7,12,Man,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
36,7,2,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient",Asian-American/Asian,0,19,Woman,Chemistry,Not at all,Postdoc,No,Become stronger
37,1,1,0,"I accepted an offer at a primarily undergraduate institution,I accepted an offer at a research-intensive institution",Caucasian-American/European,27,29,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
38,0,0,0,I did not recieve any offers,Caucasian-American/European,0,1,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
39,7,3,NA,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects,I rejected offer(s) for reasons not listed above",Caucasian-American/European,65,5,Man,Chemistry,NA,NA,Yes,Not changed
40,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,3,1,Woman,Geosciences,NA,Postdoc,Yes,Become stronger
41,4,2,1,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,20,22,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
42,8,4,NA,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of spouse/partner job prospects","Caribbean Islander (e.g., Puerto Rico, Trinidad)",50,0,Man,Chemistry,Not at all,Postdoc,Yes,Become stronger
43,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/North African or Middle Eastern,20,0,Man,Engineering,Not at all,Postdoc,No,Become stronger
44,14,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,49,1,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
45,0,0,NA,I did not recieve any offers,Caucasian-American/European,5,5,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,Not changed
46,0,0,NA,NA,Caucasian-American/European,1,0,Man,Biological Sciences,Not at all,Postdoc,Yes,Not changed
47,0,0,NA,I did not recieve any offers,Caucasian-American/European,3,3,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
48,NA,NA,NA,I did not recieve any offers,Not Listed,0,0,Woman,Humanities,NA,Postdoc,Yes,Become weaker
49,0,0,0,I did not recieve any offers,Caucasian-American/European,6,0,Man,Engineering,NA,Postdoc,Yes,Become weaker
50,0,0,NA,I did not recieve any offers,Caucasian-American/European,2,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
51,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/North African or Middle Eastern,9,1,Woman,Biological Sciences,NA,Postdoc,No,Not changed
52,1,0,0,I did not recieve any offers,Caucasian-American/European,11,4,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
53,3,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,9,1,Woman,Biological Sciences,NA,Postdoc,No,Not changed
54,9,2,1,I rejected offer(s) for geographic fit,Caucasian-American/European,54,0,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
55,0,NA,NA,NA,Caucasian-American/European,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
56,0,0,NA,I did not recieve any offers,Not Listed,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
57,7,2,0,I accepted an offer at a research-intensive institution,"Caucasian-American/European,Oceania (e.g., Australian/New Zealander)",54,0,Woman,Chemistry,Not at all,Postdoc,Yes,Become stronger
58,3,1,1,I did not recieve any offers,Caucasian-American/European,26,4,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
59,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,1,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
60,5,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,101,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
61,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,5,Woman,Chemistry,Not at all,Postdoc,Yes,Not changed
62,5,0,0,I did not recieve any offers,Caucasian-American/European,67,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
63,4,1,0,I accepted an offer at a primarily undergraduate institution,"Caucasian-American/European,Caucasian-American/North African or Middle Eastern",41,25,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become stronger
64,3,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,37,0,Man,Biological Sciences,NA,Postdoc,No,Become stronger
65,0,0,0,I did not recieve any offers,Caucasian-American/European,3,9,Man,Geosciences,NA,Postdoc,Yes,Become weaker
66,3,0,NA,I did not recieve any offers,Caucasian-American/European,20,NA,Woman,Biological Sciences,Not at all,Postdoc,No,Not changed
67,0,0,NA,I did not recieve any offers,"Caucasian-American/European,Asian-American/Asian",1,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,No,Become stronger
68,2,0,NA,I did not recieve any offers,Caucasian-American/European,22,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
69,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,17,6,Woman,Biological Sciences,NA,Postdoc,No,Become weaker
70,3,0,0,I did not recieve any offers,"Caucasian-American/European,Caucasian-American/North African or Middle Eastern,Not Listed",80,9,Man,Biological Sciences,Not at all,Postdoc,Yes,Not changed
71,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,5,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2,0,NA,I did not recieve any offers,Not Listed,51,0,Man,Chemistry,NA,Postdoc,No,Become weaker
74,1,0,1,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,24,0,Woman,Biological Sciences,Not at all,Postdoc,No,Become weaker
75,0,0,NA,I did not recieve any offers,Caucasian-American/European,11,11,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
76,1,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,1,NA,Man,Engineering,NA,Postdoc,Yes,Become stronger
77,1,0,NA,I did not recieve any offers,Caucasian-American/European,14,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
78,0,0,2,I did not recieve any offers,Caucasian-American/European,4,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
79,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,59,0,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),No,Become stronger
80,7,0,NA,I did not recieve any offers,Asian-American/Asian,83,7,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),No,Not changed
82,0,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,2,1,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
83,1,1,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for reasons not listed above",Caucasian-American/European,0,4,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
84,13,7 offers (4 additional searches were either delayed or frozen because of COVID so my decision was based on the 7 offers),0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects,I rejected offer(s) because of other family needs",Caucasian-American/European,28,0,Woman,Engineering,Not at all,Postdoc,Yes,Become stronger
85,5,5,0,"I accepted an offer at a primarily undergraduate institution,I accepted an offer at a research-intensive institution",Caucasian-American/European,3,6,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
86,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,29,0,Man,Biological Sciences,NA,Postdoc,No,Become stronger
87,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Man,Biological Sciences,NA,Postdoc,No,Not changed
88,6,2,0,I accepted an offer at a research-intensive institution,South/Central American,35,10,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
89,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,2,Woman,Integrated Sciences,NA,Postdoc,Yes,Become weaker
90,3,"one rejection, waiting to hear from two others",NA,I did not recieve any offers,Caucasian-American/European,5,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,No,Not changed
91,6,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for hostile/unwelcome interviewing environments,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,18,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
93,1,0,1,I did not recieve any offers,Caucasian-American/European,10,4,Man,Geosciences,Not at all,Postdoc,Yes,Become weaker
94,2,1,0,NA,Caucasian-American/European,17,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
97,0,0,NA,I did not recieve any offers,Asian-American/Asian,2,0,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Become weaker
98,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,2,Woman,Chemistry,Not at all,NA,Yes,Not changed
99,1,0,NA,I did not recieve any offers,Caucasian-American/European,2,2,Woman,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
100,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,20,110,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
101,2,0,NA,I did not recieve any offers,"African-American/Black/African,South/Central American,Caribbean Islander (e.g., Puerto Rico, Trinidad)",1,3,Woman,"Social, Behavior, & Economic Sciences",Not at all,NA,Yes,Become weaker
103,1,0,NA,I did not recieve any offers,Caucasian-American/European,1,5,Woman,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
104,NA,NA,NA,I did not recieve any offers,Not Listed,4,2,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Become weaker
106,0,0,0,I did not recieve any offers,Caucasian-American/European,NA,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
107,1,1,1,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,6,10,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
108,1,0,NA,I did not recieve any offers,Caucasian-American/European,8,9,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
109,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
110,4,2,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,17,23,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
111,3,1,0,I accepted an offer at a primarily undergraduate institution,"South/Central American,North American Hispanic/Latinx",0,6,Woman,"Social, Behavior, & Economic Sciences",Not at all,NA,Yes,Become stronger
112,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,7,30,Man,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Not changed
113,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,2,3,Woman,Humanities,Not at all,PhD Candidate (ABD),Yes,Not changed
114,4,1,NA,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,20,45,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
115,13,2,3,NA,Caucasian-American/European,120,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
116,2,0,NA,I did not recieve any offers,North American Hispanic/Latinx,19,20,Man,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postdoc,NA,NA
118,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,2,6,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
119,3,0,0,I did not recieve any offers,Caucasian-American/European,8,24,Man,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Become weaker
120,1,1,NA,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for hostile/unwelcome interviewing environments",Caucasian-American/European,10,20,Man,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
121,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,Somewhat,PhD Candidate (ABD),Yes,Not changed
122,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,4,1,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
123,1,0,0,I did not recieve any offers,Caucasian-American/European,6,5,Woman,Humanities,Somewhat,Postdoc,Yes,Not changed
125,1,1,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,14,9,Man,Humanities,Not at all,Postdoc,Yes,Become weaker
126,2,0,0,I did not recieve any offers,Caucasian-American/European,1,4,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
127,0,0,0,I did not recieve any offers,Caucasian-American/European,12,74,Woman,Humanities,Not at all,NA,Yes,Become weaker
128,0,0,NA,I did not recieve any offers,Caucasian-American/European,6,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
129,7,6,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,0,19,Woman,Computer & Information Sciences,NA,PhD Candidate (ABD),Yes,Not changed
130,1,0,NA,I did not recieve any offers,Caucasian-American/European,2,3,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
131,3,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,6,29,Man,Humanities,Somewhat,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
132,0,0,NA,I did not recieve any offers,Caucasian-American/European,24,6,Man,"Social, Behavior, & Economic Sciences",NA,NA,No,Not changed
133,3,3,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient",Caucasian-American/European,1,5,Woman,Humanities,Not at all,PhD Candidate (ABD),No,Become stronger
134,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,4,Man,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become stronger
135,0,0,0,I did not recieve any offers,Caucasian-American/European,2,4,Man,Humanities,NA,NA,Yes,Become weaker
136,3,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,0,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
137,7,1,0,I rejected offer(s) for geographic fit,Caucasian-American/European,5,80,Woman,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Not changed
138,0,0,0,NA,Caucasian-American/European,0,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
139,1,0,NA,I did not recieve any offers,African-American/Black/African,0,5,Man,"Social, Behavior, & Economic Sciences",Not at all,NA,Yes,Become weaker
140,1,0,0,I did not recieve any offers,Caucasian-American/European,15,25,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become weaker
141,3,0,0,I did not recieve any offers,Caucasian-American/European,55,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
142,0,0,NA,I did not recieve any offers,Caucasian-American/European,7,6,Woman,Humanities,NA,NA,No,Not changed
143,0,0,NA,I did not recieve any offers,Caucasian-American/European,9,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
144,2,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,3,0,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become weaker
145,1,0,NA,I did not recieve any offers,Caucasian-American/European,3,3,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Become weaker
146,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
148,2,0,1,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,40,5,Man,Engineering,Not at all,Postdoc,Yes,Become weaker
149,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Not changed
150,0,0,NA,NA,Caucasian-American/European,3,5,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
151,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,7,13,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
152,10,8,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Caucasian-American/North African or Middle Eastern,83,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
153,6,5,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",African-American/Black/African,26,5,Woman,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Become weaker
154,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,10,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
155,3,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals",Caucasian-American/European,6,10,Woman,Humanities,Not at all,NA,Yes,Become stronger
156,1,Still waiting,NA,NA,Caucasian-American/European,0,7,Woman,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Become weaker
157,0,0,NA,I did not recieve any offers,Asian-American/Asian,5,1,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
158,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
159,4,2,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,12,13,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Not changed
161,0,NA,NA,I did not recieve any offers,Caucasian-American/European,0,3,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),No,Become weaker
162,18,5,1,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects",Asian-American/Asian,58,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
163,5,3,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) for geographic fit,I rejected offer(s) for hostile/unwelcome interviewing environments",Caucasian-American/European,1,30,Woman,Biological Sciences,Not at all,Postdoc,No,Become stronger
164,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,4,2,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
165,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,1,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become stronger
168,3,1,0,NA,African-American/Black/African,7,15,Man,Humanities,Not at all,Postdoc,Yes,Not changed
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,5,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,83,37,Unlisted gender,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),No,Become stronger
172,1,1,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of other family needs",Caucasian-American/European,7,18,Man,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
173,8,4,NA,NA,Asian-American/Asian,25,0,Woman,Biological Sciences,Not at all,NA,Yes,Not changed
174,0,NA,NA,I did not recieve any offers,Caucasian-American/European,5,10,Man,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
175,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,3,16,Woman,Humanities,Not at all,PhD Candidate (ABD),Yes,Become stronger
176,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,NA,NA,Man,Humanities,Not at all,Postdoc,No,Not changed
177,0,0,0,I did not recieve any offers,Caucasian-American/European,0,1,Woman,Humanities,Not at all,PhD Candidate (ABD),Yes,Become weaker
178,1,1,0,I accepted an offer at a primarily undergraduate institution,North American Hispanic/Latinx,3,3,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
180,1,0,NA,I did not recieve any offers,Caucasian-American/European,4,0,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
181,6,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,30,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
182,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
183,0,NA,NA,I did not recieve any offers,Caucasian-American/European,3,4,Non-binary,Humanities,Not at all,PhD Candidate (ABD),No,Not changed
185,16,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects",Asian-American/Asian,102,0,Woman,Biological Sciences,NA,Postdoc,No,Not changed
186,13,3,NA,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects",NA,40,19,Man,Chemistry,NA,Postdoc,Yes,Not changed
187,4,1,NA,NA,Asian-American/Asian,30,70,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
